	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	string
./	12717	0	1	0	0	0	0	0	0	0	0	0	1	0	0	
./	11589	1	1	0	0	1	1	1	1	1	1	1	0	1	0	
\	11592	0	1	0	0	0	0	0	0	0	0	0	1	0	0	
./	11621	0	1	0	0	0	0	0	0	0	0	0	1	0	0	
\	11625	0	1	0	0	0	0	0	0	0	0	0	0	1	0	
\	11629	0	1	0	0	0	0	0	0	0	0	0	0	1	0	
\	12707	0	1	0	0	0	0	0	0	0	0	0	0	1	0	
\	12711	0	1	0	0	0	0	0	0	0	0	0	0	1	0	
\	12719	0	1	0	0	0	0	0	0	0	0	0	0	1	0	
./	11593	0	1	0	0	0	0	0	0	0	0	0	1	0	0	
./	11622	0	1	0	0	0	0	0	0	0	0	0	1	0	0	
./	12706	0	1	0	0	0	0	0	0	0	0	0	1	0	0	
./	12710	0	1	0	0	0	0	0	0	0	0	0	1	0	0	
./	12712	0	1	0	0	0	0	0	0	0	0	0	1	0	0	
./	12718	0	1	0	0	0	0	0	0	0	0	0	1	0	0	
./	11584	0	1	0	0	0	0	0	0	0	0	1	1	0	0	
./	11621	0	1	0	0	0	0	0	0	0	0	0	1	0	0	
\	12260	0	1	0	0	0	0	0	0	0	0	0	0	1	0	
\	11259	0	1	0	0	0	0	0	0	0	0	0	0	1	0	Wood And Metal Door
./	12258	0	1	0	0	0	0	0	0	0	0	0	1	0	0	
\	11206	1	1	0	0	1	1	1	1	1	1	1	0	1	0	
\	12716	0	1	0	0	0	0	0	0	0	0	0	0	1	0	Wood Door
\	12700	0	1	0	0	0	0	0	0	0	0	0	0	1	0	Moon Door
./	12702	0	1	0	0	0	0	0	0	0	0	0	0	1	0	Moon Door
v	12059	1	1	1	1	1	1	1	1	1	1	1	0	0	0	
v	12060	1	1	1	1	1	1	1	1	1	1	1	0	0	0	
v	12061	1	1	1	1	1	1	1	1	1	1	1	0	0	0	
v	12062	1	1	1	1	1	1	1	1	1	1	1	0	0	0	
\	13790	1	1	0	0	1	1	1	1	1	1	0	0	1	0	Crystal Quarter
\	13792	1	1	0	0	0	1	0	1	0	1	0	0	1	0	Half
\	13795	1	1	0	0	1	1	1	1	1	1	1	0	1	0	Full
\	13796	1	1	0	0	1	1	1	1	1	1	1	0	1	0	Full
\	13798	1	1	0	0	1	1	1	1	1	1	1	0	1	0	Full Window
./	13789	1	1	0	1	0	1	0	1	0	0	0	1	0	0	Quarter
./	13791	1	1	0	1	0	1	0	1	0	0	0	1	0	0	Half
./	13793	1	1	1	1	1	1	1	1	0	0	1	1	0	0	Full
./	13794	1	1	1	1	1	1	1	1	0	0	1	1	0	0	Full
./	13797	1	1	1	1	1	1	1	1	0	0	1	1	0	0	Full Window
v	13783	1	1	1	1	1	1	1	1	1	1	0	0	0	0	Quarter
v	13784	1	1	0	1	0	1	0	1	0	1	0	0	0	0	Half
v	13785	1	1	1	1	1	1	1	1	1	1	1	0	0	0	Full
o	13786	1	1	0	0	1	1	1	1	0	0	0	1	1	1	Quarter
o	13787	1	1	0	0	0	1	0	1	0	0	0	1	1	1	Half
o	13788	1	1	0	0	1	1	1	1	0	0	1	1	1	1	Full
\	13947	0	1	0	0	0	0	0	0	0	0	0	0	1	0	Door
\	13949	0	1	0	0	0	0	0	0	0	0	0	0	1	0	Door
\	13951	0	1	0	0	0	0	0	0	0	0	0	0	1	0	Door
\	13953	0	1	0	0	0	0	0	0	0	0	0	0	1	0	Door
./	13955	0	1	0	0	0	0	0	0	0	0	0	1	0	0	Door
./	13957	0	1	0	0	0	0	0	0	0	0	0	1	0	0	Door
./	13959	0	1	0	0	0	0	0	0	0	0	0	1	0	0	Door
./	13961	0	1	0	0	0	0	0	0	0	0	0	1	0	0	Door
o	13802	1	1	0	0	1	1	1	1	0	0	1	1	1	1	Pillar
o	13803	1	1	0	0	1	1	1	1	0	0	1	1	1	1	Pillar
o	13804	1	1	0	0	1	1	1	1	0	0	1	1	1	1	Pillar
o	13814	1	1	0	0	1	1	1	1	0	0	1	1	1	1	Pillar
o	13815	1	1	0	0	1	1	1	1	0	0	1	1	1	1	Pillar
\	13879	1	1	0	0	1	1	1	1	1	1	0	0	1	0	Shadow Quarter
\	13881	1	1	0	0	0	1	0	1	0	1	0	0	1	0	Half
\	13883	1	1	0	0	1	1	1	1	1	1	1	0	1	0	Full
\	13897	1	1	0	0	1	1	1	1	1	1	1	0	1	0	Full
\	13895	1	1	0	0	1	1	1	1	1	1	1	0	1	0	Full
\	13885	1	1	0	0	1	1	1	1	1	1	1	0	1	0	Full Window
\	13887	1	1	0	0	1	1	1	1	1	1	1	0	1	0	Full Window
./	13878	1	1	0	1	0	1	0	1	0	0	0	1	0	0	Quarter
./	13880	1	1	0	1	0	1	0	1	0	0	0	1	0	0	Half
./	13882	1	1	1	1	1	1	1	1	0	0	1	1	0	0	Full
./	13898	1	1	1	1	1	1	1	1	0	0	1	1	0	0	Full
./	13896	1	1	1	1	1	1	1	1	0	0	1	1	0	0	Full
./	13884	1	1	1	1	1	1	1	1	0	0	1	1	0	0	Full Window
./	13886	1	1	1	1	1	1	1	1	0	0	1	1	0	0	Full Window
v	13844	1	1	0	0	0	1	0	1	0	1	0	0	1	0	Quarter
v	13845	1	1	0	1	0	1	0	1	0	1	0	0	0	0	Half
v	13846	1	1	1	1	1	1	1	1	1	1	1	0	0	0	Full
v	13843	1	1	1	1	1	1	1	1	1	1	1	0	0	0	Full
o	13847	1	1	0	0	0	1	0	1	0	0	0	1	1	1	Quarter
o	13848	1	1	0	0	0	1	0	1	0	0	0	1	1	1	Half
o	13849	1	1	0	0	1	1	1	1	0	0	1	1	1	1	Full
o	13842	1	1	0	0	1	1	1	1	0	0	1	1	1	1	Full
\	13963	0	1	0	0	0	0	0	0	0	0	0	0	1	0	Door
\	13965	0	1	0	0	0	0	0	0	0	0	0	0	1	0	Door
\	13967	0	1	0	0	0	0	0	0	0	0	0	0	1	0	Door
\	13969	0	1	0	0	0	0	0	0	0	0	0	0	1	0	Door
./	13971	0	1	0	0	0	0	0	0	0	0	0	1	0	0	Door
./	13973	0	1	0	0	0	0	0	0	0	0	0	1	0	0	Door
./	13975	0	1	0	0	0	0	0	0	0	0	0	1	0	0	Door
./	13977	0	1	0	0	0	0	0	0	0	0	0	1	0	0	Door
o	13802	1	1	0	0	1	1	1	1	0	0	1	1	1	1	Pillar
o	13803	1	1	0	0	1	1	1	1	0	0	1	1	1	1	Pillar
o	13804	1	1	0	0	1	1	1	1	0	0	1	1	1	1	Pillar
o	13814	1	1	0	0	1	1	1	1	0	0	1	1	1	1	Pillar
o	13815	1	1	0	0	1	1	1	1	0	0	1	1	1	1	Pillar
\	13840	1	0	0	0	1	0	1	0	1	0	1	0	1	0	Arch
\	13841	1	0	1	0	1	0	1	0	0	0	1	1	0	0	Arch
./	13838	1	1	0	0	1	1	1	1	1	1	1	0	1	0	Arch
./	13839	1	1	1	1	1	1	1	1	0	0	1	1	0	0	Arch
v	13983	1	1	1	1	1	1	1	1	1	1	1	0	0	0	Arch
\	16784	1	1	0	0	1	1	1	1	1	1	1	0	1	0	Green Marble Walls
./	16785	1	1	1	1	1	1	1	1	0	0	1	1	0	0	
\	16786	1	1	0	0	1	1	1	1	1	1	1	0	1	0	
./	16787	1	1	1	1	1	1	1	1	0	0	1	1	0	0	
\	16788	1	1	0	0	1	1	1	1	1	1	1	0	1	0	
./	16789	1	1	1	1	1	1	1	1	0	0	1	1	0	0	
./	16790	1	1	1	1	1	1	1	1	0	0	1	1	0	0	
\	16791	1	1	0	0	1	1	1	1	1	1	1	0	1	0	
o	16796	1	1	0	0	1	1	1	1	0	0	1	1	1	1	
o	16797	1	1	0	0	0	1	0	1	0	0	0	1	1	1	
o	16799	1	1	0	0	0	1	0	1	0	0	0	1	1	1	
v	16805	1	1	1	1	1	1	1	1	1	1	1	0	0	0	
\	16800	1	1	0	0	1	1	1	1	1	1	1	0	1	0	Green Marble Arches
./	16801	1	1	1	1	1	1	1	1	0	0	1	1	0	0	
\	16803	1	0	0	0	1	0	1	0	1	0	1	0	1	0	
./	16804	1	0	1	0	1	0	1	0	0	0	1	1	0	0	
\	16810	1	1	0	0	1	1	1	1	1	1	1	0	1	0	
./	16812	1	1	1	1	1	1	1	1	0	0	1	1	0	0	
\	16809	1	0	0	0	1	0	1	0	1	0	1	0	1	0	
./	16811	1	0	1	0	1	0	1	0	0	0	1	1	0	0	
v	16806	1	1	0	1	0	1	0	1	0	1	0	0	0	0	Dark blue quarter wall
\	16792	1	1	0	0	0	1	0	1	0	1	0	0	1	0	
./	16793	1	1	0	1	0	1	0	1	0	0	0	1	0	0	
\	16794	1	1	0	0	0	1	0	1	0	1	0	0	1	0	
./	16795	1	1	0	1	0	1	0	1	0	0	0	1	0	0	
\	16807	1	1	0	0	0	1	0	1	0	1	0	0	1	0	
./	16808	1	1	0	1	0	1	0	1	0	0	0	1	0	0	
o	16798	1	1	0	0	0	1	0	1	0	0	0	1	1	1	
./	17226	1	1	1	1	1	1	1	1	0	0	1	1	0	0	Gargish Set Marble Walls
\	17227	1	1	0	0	1	1	1	1	1	1	1	0	1	0	
./	17228	1	1	1	1	1	1	1	1	0	0	1	1	0	0	
\	17229	1	1	0	0	1	1	1	1	1	1	1	0	1	0	
./	17232	1	1	1	1	1	1	1	1	0	0	1	1	0	0	
\	17233	1	1	0	0	1	1	1	1	1	1	1	0	1	0	
./	17236	1	1	1	1	1	1	1	1	0	0	1	1	0	0	
\	17237	1	1	0	0	1	1	1	1	1	1	1	0	1	0	
./	17238	1	1	1	1	1	1	1	1	0	0	1	1	0	0	
\	17239	1	1	0	0	1	1	1	1	1	1	1	0	1	0	
./	17240	1	1	1	1	1	1	1	1	0	0	1	1	0	0	
\	17241	1	1	0	0	1	1	1	1	1	1	1	0	1	0	
o	17190	1	1	0	0	1	1	1	1	0	0	1	1	1	1	
o	17191	1	1	0	0	0	1	0	1	0	0	0	1	1	1	
v	17183	1	1	1	1	1	1	1	1	1	1	1	0	0	0	
v	17184	1	1	1	1	1	1	1	1	1	1	1	0	0	0	
o	17349	1	1	0	0	1	1	1	1	0	0	1	1	1	1	
\	17348	1	1	0	0	1	1	1	1	1	1	1	0	1	0	
./	17347	1	1	1	1	1	1	1	1	0	0	1	1	0	0	
v	17354	1	1	1	1	1	1	1	1	1	1	1	0	0	0	
v	17355	1	1	1	1	1	1	1	1	1	1	1	0	0	0	
\	17371	1	1	0	0	1	1	1	1	1	1	1	0	1	0	
./	17372	1	1	1	1	1	1	1	1	0	0	1	1	0	0	
./	17224	1	1	0	1	0	1	0	1	0	0	0	1	0	0	Gargish Set Marble Half Walls
\	17225	1	1	0	0	0	1	0	1	0	1	0	0	1	0	
./	17230	1	1	0	1	0	1	0	1	0	0	0	1	0	0	
\	17231	1	1	0	0	0	1	0	1	0	1	0	0	1	0	
./	17234	1	1	0	1	0	1	0	1	0	0	0	1	0	0	
\	17235	1	1	0	0	0	1	0	1	0	1	0	0	1	0	
v	17178	1	1	0	1	0	1	0	1	0	1	0	0	0	0	
./	17179	1	1	0	1	0	1	0	1	0	0	0	1	0	0	
o	17180	0	1	0	0	0	1	0	1	0	0	0	1	1	1	
v	17181	1	1	0	1	0	1	0	1	0	1	0	0	0	0	
\	17182	1	1	0	0	0	1	0	1	0	1	0	0	1	0	
o	17191	1	1	0	0	0	1	0	1	0	0	0	1	1	1	
.	17177	0	1	1	1	0	1	0	0	0	1	0	0	0	0	
.	17189	0	1	1	1	0	1	0	0	0	1	0	0	0	0	
v	17344	1	1	0	1	0	1	0	1	0	1	0	0	0	0	
o	17353	1	1	0	0	0	1	0	1	0	0	0	1	1	1	
./	17352	1	1	0	1	0	1	0	1	0	0	0	1	0	0	
\	17351	1	1	0	0	0	1	0	1	0	1	0	0	1	0	
v	17350	1	1	0	1	0	1	0	1	0	1	0	0	0	0	
v	17356	1	1	0	1	0	1	0	1	0	1	0	0	0	0	
o	17357	1	1	0	0	0	1	0	1	0	0	0	1	1	1	
v	17358	1	1	0	1	0	1	0	1	0	1	0	0	0	0	
.	17172	1	1	0	0	0	0	0	0	0	0	1	0	0	0	Gargish Set Pillar
.	17173	1	1	0	0	0	0	0	0	0	0	1	0	0	0	
.	17174	1	1	0	0	0	0	0	0	0	0	1	0	0	0	
.	17160	0	1	1	1	0	1	0	0	0	1	0	0	0	0	Gargish Set Battlement
.	17161	0	1	0	1	0	0	0	1	1	1	0	0	0	0	
.	17162	0	1	1	1	0	1	0	0	0	1	0	0	0	0	
.	17163	0	1	0	1	0	0	0	1	1	1	0	0	0	0	
.	17164	0	1	1	1	0	0	0	0	0	0	0	1	0	0	
.	17165	0	1	0	0	0	0	0	0	1	1	0	0	1	0	
.	17166	1	1	1	1	1	1	1	1	1	1	1	0	0	0	
.	17167	1	1	1	1	1	1	1	1	1	1	1	0	0	0	
.	17168	0	1	1	1	0	1	0	0	0	1	0	0	0	0	
.	17169	0	1	0	1	0	0	0	1	1	1	0	0	0	0	
.	17170	0	1	1	1	0	1	0	0	0	1	0	0	0	0	
.	17171	0	1	0	1	0	0	0	1	1	1	0	0	0	0	
.	17188	0	1	0	1	1	1	0	1	0	0	0	0	0	0	
.	17187	0	1	0	1	0	0	0	0	0	1	0	0	0	0	
.	17186	0	1	0	1	0	1	0	0	0	0	0	0	0	0	
.	17185	0	1	0	0	0	0	0	1	0	1	0	0	0	0	
.	17218	0	1	1	1	0	1	0	0	0	1	0	0	0	0	
.	17219	0	1	0	1	0	0	0	1	1	1	0	0	0	0	
.	17345	0	1	1	1	0	1	0	0	0	1	0	0	0	0	
.	17346	0	1	0	1	0	0	0	1	1	1	0	0	0	0	
.	17359	0	1	1	1	0	1	0	0	0	1	0	0	0	0	
.	17360	0	1	0	1	0	0	0	1	1	1	0	0	0	0	
.	17361	0	1	1	1	0	0	0	0	0	0	0	1	0	0	
.	17362	0	1	0	0	0	0	0	0	1	1	0	0	1	0	
.	17363	1	1	1	1	1	1	1	1	1	1	1	0	0	0	
.	17364	1	1	1	1	1	1	1	1	1	1	1	0	0	0	
.	17365	0	1	1	1	0	1	0	0	0	1	0	0	0	0	
.	17366	0	1	0	1	0	0	0	1	1	1	0	0	0	0	
.	17367	0	1	1	1	0	1	0	0	0	1	0	0	0	0	
.	17368	0	1	0	1	0	0	0	1	1	1	0	0	0	0	
./	17212	1	1	1	1	1	1	1	1	0	0	1	1	0	0	Gargish Set Archway
o	17213	1	1	0	0	1	1	1	1	0	0	1	1	1	1	
./	17214	1	0	1	0	0	0	1	0	0	0	1	1	0	0	
\	17215	1	0	0	0	1	0	0	0	1	0	1	0	1	0	
./	17216	1	1	0	0	1	1	1	1	0	0	1	1	1	1	
\	17217	1	1	0	0	1	1	1	1	1	1	1	0	1	0	
*\	17220	0	1	0	0	0	1	0	0	0	0	0	0	1	0	Gargish Set Misc
*/	17221	0	1	0	0	0	0	0	1	0	0	0	1	0	0	
*/	17222	0	1	0	0	0	0	0	1	0	0	0	1	0	0	
*\	17223	0	1	0	0	0	1	0	0	0	0	0	0	1	0	
\	16723	1	1	0	0	1	1	1	1	1	1	1	0	1	0	Two-Tone Stone Walls
./	16722	1	1	1	1	1	1	1	1	0	0	1	1	0	0	
\	16725	1	1	0	0	1	1	1	1	1	1	1	0	1	0	
./	16724	1	1	1	1	1	1	1	1	0	0	1	1	0	0	
\	16737	1	1	0	0	1	1	1	1	1	1	1	0	1	0	
./	16736	1	1	1	1	1	1	1	1	0	0	1	1	0	0	
./	16720	1	1	1	1	1	1	1	1	0	0	1	1	0	0	
\	16721	1	1	0	0	1	1	1	1	1	1	1	0	1	0	
o	16733	1	1	0	0	1	1	1	1	0	0	1	1	1	1	
o	16734	1	1	0	0	0	1	0	1	0	0	0	1	1	1	
v	16730	1	1	1	1	1	1	1	1	1	1	1	0	0	0	
\	16727	1	1	0	0	1	1	1	1	1	1	1	0	1	0	Two-Tone Stone Arches
./	16726	1	1	1	1	1	1	1	1	0	0	1	1	0	0	
\	16729	1	0	0	0	1	0	1	0	1	0	1	0	1	0	
./	16728	1	0	1	0	1	0	1	0	0	0	1	1	0	0	
./	16746	1	0	1	0	0	0	1	0	0	0	1	1	0	0	
\	16747	1	0	0	0	1	0	0	0	1	0	1	0	1	0	
v	16731	1	1	0	1	0	1	0	1	0	1	0	0	0	0	Two-Tone Quarter Walls
v	16732	1	1	0	1	0	1	0	1	0	1	0	0	0	0	
\	16742	1	1	0	0	0	1	0	1	0	1	0	0	1	0	
./	16743	1	1	0	1	0	1	0	1	0	0	0	1	0	0	
\	16745	1	1	0	0	0	1	0	1	0	1	0	0	1	0	
./	16744	1	1	0	1	0	1	0	1	0	0	0	1	0	0	
\	16739	1	1	0	0	0	1	0	1	0	1	0	0	1	0	
./	16738	1	1	0	1	0	1	0	1	0	0	0	1	0	0	
\	16719	1	1	0	0	0	1	0	1	0	1	0	0	1	0	
./	16718	1	1	0	1	0	1	0	1	0	0	0	1	0	0	
o	16735	1	1	0	0	0	1	0	1	0	0	0	1	1	1	
\	16713	0	1	0	0	0	1	0	0	0	0	0	0	1	0	Grey Stone Ruins
\	16715	0	1	0	0	0	0	0	0	0	1	0	0	1	0	
./	16714	0	1	0	1	0	0	0	0	0	0	0	1	0	0	
./	16712	0	1	0	0	0	0	0	1	0	0	0	1	0	0	
\	16741	0	1	0	0	0	1	0	0	0	0	0	0	1	0	
\	16749	0	1	0	0	0	0	0	0	0	1	0	0	1	0	
./	16748	0	1	0	1	0	0	0	0	0	0	0	1	0	0	
./	16740	0	1	0	0	0	0	0	1	0	0	0	1	0	0	
\	16761	1	1	0	0	1	1	1	1	1	1	1	0	1	0	Blue Marble Walls
./	16760	1	1	1	1	1	1	1	1	0	0	1	1	0	0	
\	16763	1	1	0	0	1	1	1	1	1	1	1	0	1	0	
./	16762	1	1	1	1	1	1	1	1	0	0	1	1	0	0	
\	16757	1	1	0	0	1	1	1	1	1	1	1	0	1	0	
./	16758	1	1	1	1	1	1	1	1	0	0	1	1	0	0	
o	16756	1	1	0	0	1	1	1	1	0	0	1	1	1	1	
v	16759	1	1	1	1	1	1	1	1	1	1	1	0	0	0	
\	16750	1	1	0	0	1	1	1	1	1	1	1	0	1	0	
./	16751	1	1	1	1	1	1	1	1	0	0	1	1	0	0	
\	16755	1	1	0	0	1	1	1	1	1	1	1	0	1	0	Blue Marble Arches
./	16754	1	1	1	1	1	1	1	1	0	0	1	1	0	0	
\	16753	1	0	0	0	1	0	1	0	1	0	1	0	1	0	
./	16752	1	0	1	0	1	0	1	0	0	0	1	1	0	0	
v	16766	1	1	0	1	0	1	0	1	0	1	0	0	0	0	Blue Marble Half Walls
\	16768	1	1	0	0	0	1	0	1	0	1	0	0	1	0	
./	16765	1	1	0	1	0	1	0	1	0	0	0	1	0	0	
\	16770	1	1	0	0	0	1	0	1	0	1	0	0	1	0	
./	16767	1	1	0	1	0	1	0	1	0	0	0	1	0	0	
\	16769	1	1	0	0	0	1	0	1	0	1	0	0	1	0	
./	16771	1	1	0	1	0	1	0	1	0	0	0	1	0	0	
\	16770	1	1	0	0	0	1	0	1	0	1	0	0	1	0	
\	16772	1	1	0	0	0	1	0	1	0	1	0	0	1	0	
./	16773	1	1	0	1	0	1	0	1	0	0	0	1	0	0	
o	16764	1	1	0	0	0	1	0	1	0	0	0	1	1	1	
\	16660	1	1	0	0	1	1	1	1	1	1	1	0	1	0	Gold Stone Walls
\	16661	1	1	0	0	1	1	1	1	1	1	1	0	1	0	
\	16662	1	1	0	0	1	1	1	1	1	1	1	0	1	0	
./	16664	1	1	1	1	1	1	1	1	0	0	1	1	0	0	
./	16665	1	1	1	1	1	1	1	1	0	0	1	1	0	0	
./	16666	1	1	1	1	1	1	1	1	0	0	1	1	0	0	
o	16663	1	1	0	0	1	1	1	1	0	0	1	1	1	1	
v	16675	1	1	1	1	1	1	1	1	1	1	1	0	0	0	
\	16677	1	1	0	0	1	1	1	1	1	1	1	0	1	0	
./	16676	1	1	1	1	1	1	1	1	0	0	1	1	0	0	
.	16668	1	1	1	1	1	1	1	1	1	1	1	1	1	0	Stone Battlement
.	16667	1	1	1	1	1	1	1	1	1	1	1	1	1	0	
.	16669	1	1	1	1	1	1	1	1	1	1	1	1	1	0	
.	16670	1	1	1	1	1	1	1	1	1	1	1	1	1	0	
.	16672	1	1	1	1	1	1	1	1	1	1	1	1	1	0	
.	16671	1	1	1	1	1	1	1	1	1	1	1	1	1	0	
.	16673	1	1	1	1	1	1	1	1	1	1	1	1	1	0	
.	16674	1	1	1	1	1	1	1	1	1	1	1	1	1	0	
.	16678	0	1	1	1	0	1	0	0	0	1	0	0	0	0	Gold Stone Blocks
.	16679	0	1	1	1	0	1	0	0	0	1	0	0	0	0	
./	20733	1	1	1	1	1	1	1	1	0	0	1	1	0	0	Queen Palace Red/Marble Walls
./	20734	1	1	1	1	1	1	1	1	0	0	1	1	0	0	
./	20735	1	1	1	1	1	1	1	1	0	0	1	1	0	0	
./	20736	1	1	1	1	1	1	1	1	0	0	1	1	0	0	
./	20737	1	1	1	1	1	1	1	1	0	0	1	1	0	0	
./	20738	1	1	1	1	1	1	1	1	0	0	1	1	0	0	
./	20741	1	1	1	1	1	1	1	1	0	0	1	1	0	0	
./	20742	1	1	1	1	1	1	1	1	0	0	1	1	0	0	
./	20743	1	1	1	1	1	1	1	1	0	0	1	1	0	0	
./	20744	1	1	1	1	1	1	1	1	0	0	1	1	0	0	
./	20745	1	1	1	1	1	1	1	1	0	0	1	1	0	0	
./	20746	1	1	1	1	1	1	1	1	0	0	1	1	0	0	
./	20747	1	1	1	1	1	1	1	1	0	0	1	1	0	0	
./	20748	1	1	1	1	1	1	1	1	0	0	1	1	0	0	
./	20749	1	1	1	1	1	1	1	1	0	0	1	1	0	0	
./	20750	1	1	1	1	1	1	1	1	0	0	1	1	0	0	
./	20751	1	1	1	1	1	1	1	1	0	0	1	1	0	0	
\	20740	1	1	0	0	1	1	1	1	1	1	1	0	1	0	
\	20752	1	1	0	0	1	1	1	1	1	1	1	0	1	0	
\	20753	1	1	0	0	1	1	1	1	1	1	1	0	1	0	
\	20754	1	1	0	0	1	1	1	1	1	1	1	0	1	0	
\	20755	1	1	0	0	1	1	1	1	1	1	1	0	1	0	
\	20756	1	1	0	0	1	1	1	1	1	1	1	0	1	0	
\	20757	1	1	0	0	1	1	1	1	1	1	1	0	1	0	
\	20759	1	1	0	0	1	1	1	1	1	1	1	0	1	0	
\	20760	1	1	0	0	1	1	1	1	1	1	1	0	1	0	
\	20761	1	1	0	0	1	1	1	1	1	1	1	0	1	0	
\	20762	1	1	0	0	1	1	1	1	1	1	1	0	1	0	
\	20763	1	1	0	0	1	1	1	1	1	1	1	0	1	0	
\	20764	1	1	0	0	1	1	1	1	1	1	1	0	1	0	
\	20765	1	1	0	0	1	1	1	1	1	1	1	0	1	0	
\	20766	1	1	0	0	1	1	1	1	1	1	1	0	1	0	
\	20767	1	1	0	0	1	1	1	1	1	1	1	0	1	0	
\	20768	1	1	0	0	1	1	1	1	1	1	1	0	1	0	
\	20769	1	1	0	0	1	1	1	1	1	1	1	0	1	0	
./	20770	1	1	1	1	1	1	1	1	0	0	1	1	0	0	
\	20786	1	1	0	0	1	1	1	1	1	1	1	0	1	0	
./	20787	1	1	1	1	1	1	1	1	0	0	1	1	0	0	
\	20788	1	1	0	0	1	1	1	1	1	1	1	0	1	0	
./	20789	1	1	1	1	1	1	1	1	0	0	1	1	0	0	
\	20790	1	1	0	0	1	1	1	1	1	1	1	0	1	0	
\	20791	1	1	0	0	1	1	1	1	1	1	1	0	1	0	
./	20792	1	1	1	1	1	1	1	1	0	0	1	1	0	0	
./	20793	1	1	1	1	1	1	1	1	0	0	1	1	0	0	
\	20794	1	1	0	0	1	1	1	1	1	1	1	0	1	0	
\	20795	1	1	0	0	1	1	1	1	1	1	1	0	1	0	
./	20796	1	1	1	1	1	1	1	1	0	0	1	1	0	0	
./	20797	1	1	1	1	1	1	1	1	0	0	1	1	0	0	
\	20799	1	1	0	0	1	1	1	1	1	1	1	0	1	0	
./	20801	1	1	1	1	1	1	1	1	0	0	1	1	0	0	
o	20758	1	1	0	0	1	1	1	1	0	0	1	1	1	1	
o	20775	1	1	0	0	1	1	1	1	0	0	1	1	1	1	
o	20779	1	1	0	0	1	1	1	1	0	0	1	1	1	1	
o	20798	1	1	0	0	1	1	1	1	0	0	1	1	1	1	
o	20800	1	1	0	0	1	1	1	1	0	0	1	1	1	1	
v	20739	1	1	1	1	1	1	1	1	1	1	1	0	0	0	
v	20778	1	1	1	1	1	1	1	1	1	1	1	0	0	0	
v	20780	1	1	1	1	1	1	1	1	1	1	1	0	0	0	
v	20781	1	1	1	1	1	1	1	1	1	1	1	0	0	0	
\	20771	1	1	0	0	1	1	1	1	1	1	1	0	1	0	Queen Palace Marble Arches
./	20772	1	1	1	1	1	1	1	1	0	0	1	1	0	0	
\	20773	1	0	0	0	1	0	1	0	1	0	1	0	1	0	
./	20774	1	0	1	0	1	0	1	0	0	0	1	1	0	0	
./	20728	1	0	1	0	0	0	1	0	0	0	1	1	0	0	
\	20729	1	0	0	0	1	0	0	0	1	0	1	0	1	0	
v	20701	1	1	0	1	0	1	0	1	0	1	0	0	0	0	Queen Palace Half Walls
o	20700	1	1	0	0	0	1	0	1	0	0	0	1	1	1	
o	16799	1	1	0	0	0	1	0	1	0	0	0	1	1	1	
\	20699	1	1	0	0	0	1	0	1	0	1	0	0	1	0	
./	20698	1	1	0	1	0	1	0	1	0	0	0	1	0	0	
\	20782	1	1	0	0	0	1	0	1	0	1	0	0	1	0	
./	20783	1	1	0	1	0	1	0	1	0	0	0	1	0	0	
\	20784	1	1	0	0	0	1	0	1	0	1	0	0	1	0	
./	20785	1	1	0	1	0	1	0	1	0	0	0	1	0	0	
*\	20731	0	1	0	0	0	1	0	0	0	0	0	0	1	0	
*/	20732	0	1	0	0	0	0	0	1	0	0	0	1	0	0	
\	18117	1	1	0	0	1	1	1	1	1	1	1	0	1	0	Ruined Stone Walls
\	18133	1	1	0	0	1	1	1	1	1	1	1	0	1	0	
\	18134	1	1	0	0	1	1	1	1	1	1	1	0	1	0	
\	18135	1	1	0	0	1	1	1	1	1	1	1	0	1	0	
./	18116	1	1	1	1	1	1	1	1	0	0	1	1	0	0	
./	18129	1	1	1	1	1	1	1	1	0	0	1	1	0	0	
./	18130	1	1	1	1	1	1	1	1	0	0	1	1	0	0	
o	18136	1	1	0	0	1	1	1	1	0	0	1	1	1	1	
v	18140	1	1	1	1	1	1	1	1	1	1	1	0	0	0	
\	18138	1	1	0	0	1	1	1	1	1	1	1	0	1	0	
./	18139	1	1	1	1	1	1	1	1	0	0	1	1	0	0	
./	18301	1	1	1	1	1	1	1	1	0	0	1	1	0	0	
./	18304	1	1	1	1	1	1	1	1	0	0	1	1	0	0	
./	18305	1	1	1	1	1	1	1	1	0	0	1	1	0	0	
./	18306	1	1	1	1	1	1	1	1	0	0	1	1	0	0	
./	18307	1	1	1	1	1	1	1	1	0	0	1	1	0	0	
./	18308	1	1	1	1	1	1	1	1	0	0	1	1	0	0	
\	18310	1	1	0	0	1	1	1	1	1	1	1	0	1	0	
\	18313	1	1	0	0	1	1	1	1	1	1	1	0	1	0	
\	18314	1	1	0	0	1	1	1	1	1	1	1	0	1	0	
\	18315	1	1	0	0	1	1	1	1	1	1	1	0	1	0	
\	18316	1	1	0	0	1	1	1	1	1	1	1	0	1	0	
\	18317	1	1	0	0	1	1	1	1	1	1	1	0	1	0	
\	18319	1	1	0	0	1	1	1	1	1	1	1	0	1	0	
./	18310	1	1	1	1	1	1	1	1	0	0	1	1	0	0	
\	18113	1	1	0	0	0	1	0	1	0	1	0	0	1	0	Ruined Stone Half Walls
